age,count
0,31
1,1154
2,1389
3,383
4,2463
5,494
6,2558
7,646
8,532
9,438
10,1649
11,1048
12,520
13,806
14,299
15,843
16,416
17,970
18,1313
19,861
20,1797
21,1537
22,1048
23,478
24,821
25,1561
26,1745
27,2788
28,986
29,566
30,675
31,1795
32,623
33,435
34,2067
35,777
36,919
37,1587
38,1879
39,353
40,1851
41,1522
42,903
43,328
44,303
45,991
46,339
47,1590
48,1581
49,365
50,1717
51,348
52,440
53,959
54,1618
55,1486
56,431
57,1105
58,1392
59,313
60,1352
61,1160
62,1102
63,277
64,478
65,1008
66,823
67,722
68,704
69,582
70,614
71,457
72,466
73,394
74,346
75,375
76,289
77,217
78,227
79,154
80,227
81,135
82,117
83,96
84,90
85,165
86,66
87,41
88,44
89,43
90,75
91,5
92,14
93,4
94,1
95,7
96,11
99,6
100,8
101,1
103,1
105,3
110,4
115,2
116,2
